method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value,TIE_PROP,NOT_TIE_PROP,GFR
Fair-Break,skewed_groups,0.06020483074496718,0.0,0.0,0.6,0.4,14.545068494135228
Fair-Full,skewed_groups,0.0,0.959349593495935,0.5900000000000001,0.6,0.4,14.545068494135228
VanillaMC,skewed_groups,0.15695406005972307,0.0,0.0,0.6,0.4,14.545068494135228
FairMC,skewed_groups,0.22872854839002138,0.0,0.0,0.6,0.4,14.545068494135228
EPIRA-Break,skewed_groups,0.17997670128679866,0.0,0.0,0.6,0.4,14.545068494135228
EPIRA-Full,skewed_groups,0.16066209695684666,0.0,0.0,0.6,0.4,14.545068494135228
Epsilon-Break,skewed_groups,0.12913122435754923,0.0,0.0,0.6,0.4,14.545068494135228
Epsilon-Full,skewed_groups,0.03649893932319413,0.7626016260162602,0.4700000000000001,0.6,0.4,14.545068494135228
AVG,skewed_groups,0.06253229692592549,0.0,0.0,0.7,0.30000000000000004,11.0710307491833
Worst,skewed_groups,0.4826029492624594,0.0,0.0,0.7,0.30000000000000004,11.0710307491833
Fair-Break,skewed_groups,0.015160217954850178,0.0,0.0,0.7,0.30000000000000004,11.0710307491833
Fair-Full,skewed_groups,0.0,0.9746543778801844,0.45000000000000007,0.7,0.30000000000000004,11.0710307491833
VanillaMC,skewed_groups,0.05194608507280229,0.0,0.0,0.7,0.30000000000000004,11.0710307491833
FairMC,skewed_groups,0.27994686650636247,0.0,0.0,0.7,0.30000000000000004,11.0710307491833
EPIRA-Break,skewed_groups,0.06253229692592549,0.0,0.0,0.7,0.30000000000000004,11.0710307491833
EPIRA-Full,skewed_groups,0.11246704589422135,0.0,0.0,0.7,0.30000000000000004,11.0710307491833
Epsilon-Break,skewed_groups,0.1429441793887576,0.0,0.0,0.7,0.30000000000000004,11.0710307491833
Epsilon-Full,skewed_groups,0.10570940852854478,0.747926267281106,0.3600000000000001,0.7,0.30000000000000004,11.0710307491833
AVG,skewed_groups,0.027389838636494898,0.0,0.0,0.8,0.19999999999999996,7.593098744442973
Worst,skewed_groups,0.4826029492624594,0.0,0.0,0.8,0.19999999999999996,7.593098744442973
Fair-Break,skewed_groups,0.00312284288962548,0.0,0.0,0.8,0.19999999999999996,7.593098744442973
Fair-Full,skewed_groups,0.0,0.9583333333333334,0.29999999999999993,0.8,0.19999999999999996,7.593098744442973
VanillaMC,skewed_groups,0.30873036020123334,0.0,0.0,0.8,0.19999999999999996,7.593098744442973
FairMC,skewed_groups,0.34773479706976035,0.0,0.0,0.8,0.19999999999999996,7.593098744442973
EPIRA-Break,skewed_groups,0.027389838636494898,0.0,0.0,0.8,0.19999999999999996,7.593098744442973
EPIRA-Full,skewed_groups,0.09054627496738164,0.0,0.0,0.8,0.19999999999999996,7.593098744442973
Epsilon-Break,skewed_groups,0.03296648140443462,0.0,0.0,0.8,0.19999999999999996,7.593098744442973
Epsilon-Full,skewed_groups,0.02634145789167636,0.7666666666666666,0.23999999999999988,0.8,0.19999999999999996,7.593098744442973
AVG,skewed_groups,0.10883192303261904,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
Worst,skewed_groups,0.4826029492624594,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
Fair-Break,skewed_groups,0.0002963095806166986,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
Fair-Full,skewed_groups,0.0,0.8232323232323232,0.14,0.9,0.09999999999999998,4.096422734764315
VanillaMC,skewed_groups,0.30166723169636195,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
FairMC,skewed_groups,0.4164960078764892,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
EPIRA-Break,skewed_groups,0.02758209165477238,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
EPIRA-Full,skewed_groups,0.17112178613367027,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
Epsilon-Break,skewed_groups,0.08357062753261628,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
Epsilon-Full,skewed_groups,0.08225904299692231,0.9181818181818182,0.18999999999999995,0.9,0.09999999999999998,4.096422734764315
AVG,skewed_groups,0.014496948357057185,0.0,0.0,1.0,0.0,0.0
Worst,skewed_groups,0.4826029492624594,0.0,0.0,1.0,0.0,0.0
Fair-Break,skewed_groups,0.0,0.0,0.0,1.0,0.0,0.0
Fair-Full,skewed_groups,0.0,0.0,0.0,1.0,0.0,0.0
VanillaMC,skewed_groups,0.004633578480902124,0.0,0.0,1.0,0.0,0.0
FairMC,skewed_groups,0.004633578480902124,0.0,0.0,1.0,0.0,0.0
EPIRA-Break,skewed_groups,0.014496948357057185,0.0,0.0,1.0,0.0,0.0
EPIRA-Full,skewed_groups,0.23677283337989546,0.0,0.0,1.0,0.0,0.0
Epsilon-Break,skewed_groups,0.0037956557644743868,0.0,0.0,1.0,0.0,0.0
Epsilon-Full,skewed_groups,0.0037956557644743868,0.0,0.0,1.0,0.0,0.0
AVG,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Worst,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Fair-Break,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Fair-Full,alternating_groups,0.004463266335925586,0.99,0.99,0.0,1.0,35.00385317267997
VanillaMC,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
FairMC,alternating_groups,0.17087237699435634,0.79,0.79,0.0,1.0,35.00385317267997
EPIRA-Break,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
EPIRA-Full,alternating_groups,0.05331726419127638,0.10999999999999999,0.1100000000000001,0.0,1.0,35.00385317267997
Epsilon-Break,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Epsilon-Full,alternating_groups,0.010584408882363311,0.75,0.75,0.0,1.0,35.00385317267997
AVG,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Worst,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Fair-Break,alternating_groups,0.1743650961307553,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Fair-Full,alternating_groups,0.004463266335925586,0.9835164835164835,0.94,0.1,0.9,31.884697939470872
