method,dataset,TIE_BLOCKS,TIE_TYPE,GFR,NDKL_Value,ULOSS_Value,WULOSS_Value
EPIRA-Full,alternating_groups,3,Bottom,13.218125536079937,0.05323525066595523,0.2558139534883721,0.10999999999999988
EPIRA-Full,alternating_groups,3,Interleaved,14.185305453354077,0.12899900731756206,0.23488372093023258,0.11999999999999988
EPIRA-Full,alternating_groups,3,Top,15.152485370628217,0.028254649276703202,0.0,0.0
EPIRA-Full,alternating_groups,4,Bottom,6.0650240645732625,0.05323525066595523,0.45833333333333337,0.10999999999999988
EPIRA-Full,alternating_groups,4,Interleaved,7.220266743539598,0.04811044296175999,0.16875000000000007,0.050000000000000044
EPIRA-Full,alternating_groups,4,Top,8.375509422505933,0.028254649276703202,0.0,0.0
EPIRA-Full,alternating_groups,5,Bottom,0.0,0.028172635751382062,0.0,0.0
EPIRA-Full,alternating_groups,5,Interleaved,0.6933765542848239,0.045379121600185375,0.0,0.0
EPIRA-Full,alternating_groups,5,Top,0.0,0.028172635751382062,0.0,0.0
EPIRA-Full,skewed_groups,1,Bottom,28.41896990257186,0.2317451881683128,0.6790123456790124,0.55
EPIRA-Full,skewed_groups,1,Interleaved,28.068118422293196,0.22322637949904472,0.49629629629629635,0.43999999999999995
EPIRA-Full,skewed_groups,1,Top,28.41896990257186,0.2317451881683128,0.4345679012345679,0.3899999999999999
EPIRA-Full,skewed_groups,2,Bottom,21.834086632463748,0.2317451881683128,0.8870967741935484,0.5499999999999999
EPIRA-Full,skewed_groups,2,Interleaved,21.834086632463748,0.2317451881683128,0.5685483870967742,0.3999999999999999
EPIRA-Full,skewed_groups,2,Top,21.834086632463748,0.2317451881683128,0.24919354838709684,0.23999999999999985
EPIRA-Full,skewed_groups,3,Bottom,14.588297085551636,0.22322637949904472,0.9348837209302324,0.43999999999999995
EPIRA-Full,skewed_groups,3,Interleaved,14.894570726021781,0.22322637949904472,0.4744186046511628,0.28
EPIRA-Full,skewed_groups,3,Top,15.200844366491925,0.22322637949904472,0.013953488372093203,0.11999999999999988
EPIRA-Full,skewed_groups,4,Bottom,8.028936618816033,0.22322637949904472,0.85,0.2799999999999999
EPIRA-Full,skewed_groups,4,Interleaved,8.664320092247518,0.2317451881683128,0.5249999999999999,0.23999999999999985
EPIRA-Full,skewed_groups,4,Top,8.577676891325043,0.22322637949904472,0.02499999999999991,0.12
EPIRA-Full,skewed_groups,5,Bottom,1.6635494577115235,0.22322637949904472,0.1200000000000001,0.11999999999999988
EPIRA-Full,skewed_groups,5,Interleaved,2.081941005060066,0.22553315298407645,0.10175438596491226,0.11999999999999988
EPIRA-Full,skewed_groups,5,Top,1.6635494577115235,0.22322637949904472,0.1200000000000001,0.11999999999999988
Epsilon-Break,alternating_groups,1,Bottom,27.72582429519206,0.1741410502847055,0.0,0.0
Epsilon-Break,alternating_groups,1,Interleaved,28.068118422293196,0.17349536670705692,0.0,0.0
Epsilon-Break,alternating_groups,1,Top,28.41041254939433,0.04944916344590674,0.0,0.0
Epsilon-Break,alternating_groups,2,Bottom,20.458975185565112,0.17374298008146485,0.0,-2.220446049250313e-16
Epsilon-Break,alternating_groups,2,Interleaved,21.129761257222984,0.17099554950608206,0.0,0.0
Epsilon-Break,alternating_groups,2,Top,21.800547328880853,0.046477687024474156,0.0,0.0
Epsilon-Break,alternating_groups,3,Bottom,13.218125536079937,0.17287325065776646,0.0,-2.220446049250313e-16
Epsilon-Break,alternating_groups,3,Interleaved,14.185305453354077,0.21614461225809603,0.0,0.0
Epsilon-Break,alternating_groups,3,Top,15.152485370628217,0.04560795760077579,0.0,0.0
Epsilon-Break,alternating_groups,4,Bottom,6.0650240645732625,0.1699017742363339,0.0,0.0
Epsilon-Break,alternating_groups,4,Interleaved,7.220266743539598,0.1431870641631146,0.0,0.0
Epsilon-Break,alternating_groups,4,Top,8.375509422505933,0.045209887397535134,0.0,0.0
Epsilon-Break,alternating_groups,5,Bottom,0.0,0.044985841551485356,0.0,0.0
Epsilon-Break,alternating_groups,5,Interleaved,0.6933765542848239,0.049865664249691896,0.0,0.0
Epsilon-Break,alternating_groups,5,Top,0.0,0.044985841551485356,0.0,0.0
Epsilon-Break,skewed_groups,1,Bottom,28.41896990257186,0.4826029492624594,0.0,0.0
Epsilon-Break,skewed_groups,1,Interleaved,28.068118422293196,0.46307435531567237,0.0,0.0
Epsilon-Break,skewed_groups,1,Top,28.41896990257186,0.4826029492624594,0.0,0.0
Epsilon-Break,skewed_groups,2,Bottom,21.834086632463748,0.4826029492624594,0.0,-2.220446049250313e-16
Epsilon-Break,skewed_groups,2,Interleaved,21.834086632463748,0.4826029492624594,0.0,0.0
Epsilon-Break,skewed_groups,2,Top,21.834086632463748,0.4826029492624594,0.0,0.0
Epsilon-Break,skewed_groups,3,Bottom,14.588297085551636,0.46307435531567237,0.0,-2.220446049250313e-16
Epsilon-Break,skewed_groups,3,Interleaved,14.894570726021781,0.46307435531567237,0.0,0.0
Epsilon-Break,skewed_groups,3,Top,15.200844366491925,0.46307435531567237,0.0,0.0
Epsilon-Break,skewed_groups,4,Bottom,8.028936618816033,0.46307435531567237,0.0,0.0
Epsilon-Break,skewed_groups,4,Interleaved,8.664320092247518,0.4826029492624594,0.0,0.0
Epsilon-Break,skewed_groups,4,Top,8.577676891325043,0.46307435531567237,0.0,0.0
Epsilon-Break,skewed_groups,5,Bottom,1.6635494577115235,0.46307435531567237,0.0,0.0
Epsilon-Break,skewed_groups,5,Interleaved,2.081941005060066,0.4595879919503926,0.0,0.0
Epsilon-Break,skewed_groups,5,Top,1.6635494577115235,0.46307435531567237,0.0,0.0
Epsilon-Full,alternating_groups,1,Bottom,27.72582429519206,0.05996712675337912,0.7083950617283951,0.6839999999999999
Epsilon-Full,alternating_groups,1,Interleaved,28.068118422293196,0.05996712675337912,0.7377777777777779,0.704
Epsilon-Full,alternating_groups,1,Top,28.41041254939433,0.05996712675337912,0.7493827160493828,0.702
Epsilon-Full,alternating_groups,2,Bottom,20.458975185565112,0.05996712675337912,0.6808064516129032,0.6519999999999999
Epsilon-Full,alternating_groups,2,Interleaved,21.129761257222984,0.05996712675337912,0.7661290322580645,0.6839999999999999
Epsilon-Full,alternating_groups,2,Top,21.800547328880853,0.05996712675337912,0.7930645161290323,0.6759999999999999
Epsilon-Full,alternating_groups,3,Bottom,13.218125536079937,0.05996712675337912,0.6458139534883721,0.614
Epsilon-Full,alternating_groups,3,Interleaved,14.185305453354077,0.11743921450207936,0.7320930232558139,0.634
Epsilon-Full,alternating_groups,3,Top,15.152485370628217,0.05996712675337912,0.8076744186046512,0.638
Epsilon-Full,alternating_groups,4,Bottom,6.0650240645732625,0.05996712675337912,0.6766666666666666,0.588
Epsilon-Full,alternating_groups,4,Interleaved,7.220266743539598,0.08827520633442518,0.7337499999999999,0.596
Epsilon-Full,alternating_groups,4,Top,8.375509422505933,0.05996712675337912,0.8150000000000001,0.606
Epsilon-Full,alternating_groups,5,Bottom,0.0,0.05996712675337912,0.5479999999999999,0.5479999999999999
Epsilon-Full,alternating_groups,5,Interleaved,0.6933765542848239,0.057993977123693106,0.6173684210526316,0.546
Epsilon-Full,alternating_groups,5,Top,0.0,0.05996712675337912,0.5479999999999999,0.5479999999999999
